lead_country,lag_country,n_both,n_a_first,n_ties,hit_rate,hit_rate_wilson_lb,median_lead_days,mean_lead_days
SG,AU,39,22,0,0.5641025641025641,0.4097542347452211,184.5,182
GB,BE,8,6,0,0.75,0.40926987910258916,626.0,702.8
DE,AU,75,39,0,0.52,0.4087401957316927,173,298.7
DE,NZ,23,14,1,0.6086956521739131,0.40785179603745997,354.5,439.6
AU,ES,71,36,0,0.5070422535211268,0.3934110961033843,215.5,329.1
GR,IE,35,19,0,0.5428571428571428,0.3818945134013752,81,207.1
ES,AU,71,35,0,0.49295774647887325,0.38004954317025624,217,368.0
DE,NO,62,31,0,0.5,0.37922532216457727,171,259
NO,DE,62,31,0,0.5,0.37922532216457727,106,234.1
MY,FR,5,4,0,0.8,0.37552826411853885,136.5,410.8
AU,DE,75,36,0,0.48,0.37068921756788065,208.0,275.9
AU,FR,43,22,0,0.5116279069767442,0.36752063766074083,210.0,380.0
NO,IE,19,11,0,0.5789473684210527,0.3627555146516011,99,118.2
SG,NO,7,5,0,0.7142857142857143,0.35892909014821267,293,278.2
CA,IT,196,81,0,0.413265306122449,0.3466393500934312,943,1351.4
FR,AU,43,21,0,0.4883720930232558,0.34617209277756006,164,178
BE,IE,65,30,0,0.46153846153846156,0.34590137149936684,386.0,380.9
GB,DE,2,2,0,1.0,0.3423719528896193,1284.0,1284
MY,NO,2,2,0,1.0,0.3423719528896193,859.5,859.5
SG,US,20,11,0,0.55,0.34208200830759966,221,245.1
NO,NZ,14,8,0,0.5714285714285714,0.3259026690286936,84.5,201.6
GR,BE,93,39,0,0.41935483870967744,0.3242204927602262,123,175.5
US,IT,163,63,1,0.38650306748466257,0.31518003107419723,1100,1544.4
FR,GR,24,12,0,0.5,0.3142713162776308,117.5,220.1
GR,FR,24,12,0,0.5,0.3142713162776308,105.5,138.5
DE,IE,22,11,0,0.5,0.3072180469247956,243,351.4
IE,DE,22,11,0,0.5,0.3072180469247956,180,313.9
IE,GR,35,16,0,0.45714285714285713,0.30465773633760845,107.5,197.6
BE,AU,142,54,0,0.38028169014084506,0.3045831603169768,261.0,346.4
BE,DE,57,24,2,0.42105263157894735,0.3018739975305185,201.5,313.9
CH,NL,4,3,0,0.75,0.30063605244263664,15,17.7
MY,NZ,4,3,0,0.75,0.30063605244263664,1174,1043.7
CA,GB,6,4,0,0.6666666666666666,0.2999883213415286,894.0,917
DE,ES,44,19,0,0.4318181818181818,0.2968250416485458,258,394.2
NO,CA,47,20,0,0.425531914893617,0.2951341600182584,114.0,304.6
AU,SG,39,17,0,0.4358974358974359,0.2930452416170466,98,97.1
DE,FR,18,9,0,0.5,0.2903070395897999,85,136.7
FR,DE,18,9,0,0.5,0.2903070395897999,131,186.2
NO,AU,51,21,0,0.4117647058823529,0.28754192992486893,127,193.3
IE,CA,49,20,0,0.40816326530612246,0.2821503460597105,85.5,193.2
BE,CA,163,57,0,0.3496932515337423,0.28071006479995736,257,370.2
DE,CA,62,24,0,0.3870967741935484,0.27584463426990685,348.0,527.4
GR,DE,34,14,0,0.4117647058823529,0.2636573778568886,112.0,144.9
FR,BE,40,16,0,0.4,0.26348110612401365,261.5,242
US,SG,20,9,0,0.45,0.25819502085709295,98,94.4
BE,NO,44,17,0,0.38636363636363635,0.25720998886701985,249,406.1
US,MY,38,15,0,0.39473684210526316,0.2559785926361891,650,829.9
FR,NO,12,6,0,0.5,0.2537781703934222,95.0,101.7
NO,FR,12,6,0,0.5,0.2537781703934222,118.5,259.8
AU,CA,264,76,1,0.2878787878787879,0.23661100620041445,227.5,429.8
FR,NZ,10,5,0,0.5,0.2365895936154873,218,300.6
NZ,FR,10,5,0,0.5,0.2365895936154873,96,313.4
IE,NO,19,8,0,0.42105263157894735,0.2314162039203038,82.5,156
IT,GB,5,3,0,0.6,0.23071993220883702,1427,1450.3
IE,ES,82,26,0,0.3170731707317073,0.22647919829889349,112.0,173.7
BE,ES,63,20,0,0.31746031746031744,0.21586527168091207,198.0,299.9
GB,US,8,4,0,0.5,0.2152125268244419,1479.0,1376
US,GB,8,4,0,0.5,0.2152125268244419,322.0,487.5
FR,CA,34,12,0,0.35294117647058826,0.2148771489529607,182.0,196.6
NZ,NO,14,6,0,0.42857142857142855,0.21380509930400526,170.5,237
GR,ES,42,14,0,0.3333333333333333,0.21012280761972318,62.5,146
NO,GB,3,2,0,0.6666666666666666,0.20765495512648788,201.0,201
CH,BE,1,1,0,1.0,0.20654329147389294,57,57
CH,NZ,1,1,0,1.0,0.20654329147389294,63,63
CH,SK,1,1,0,1.0,0.20654329147389294,91,91
ES,SK,1,1,0,1.0,0.20654329147389294,135,135
GB,FR,1,1,0,1.0,0.20654329147389294,175,175
GB,MY,1,1,0,1.0,0.20654329147389294,706,706
MY,NL,1,1,0,1.0,0.20654329147389294,330,330
PT,IT,1,1,0,1.0,0.20654329147389294,50,50
ES,US,90,25,0,0.2777777777777778,0.1957955914762625,233,352.1
IE,AU,59,17,0,0.288135593220339,0.18836347285820826,277,310.5
NZ,DE,23,8,1,0.34782608695652173,0.18811054636982238,100.0,173.8
