lead_country,lag_country,n_both,n_a_first,n_ties,hit_rate,hit_rate_wilson_lb,median_lead_days,mean_lead_days
NZ,ES,19,3,0,0.15789473684210525,0.05520371039927826,179,227.7
CH,ES,32,4,0,0.125,0.049700538444743,46.0,46.2
FR,IT,32,4,0,0.125,0.049700538444743,205.5,216.5
CH,NZ,4,1,0,0.25,0.045586062644636216,63,63
GB,CA,13,2,0,0.15384615384615385,0.04325726318273798,1569.5,1569.5
NO,US,54,5,0,0.09259259259259259,0.040200542070567336,53,202.6
NL,NO,42,4,0,0.09523809523809523,0.037661638828312104,13.0,30.2
PT,DE,5,1,0,0.2,0.036223160969787456,11,11
PT,GR,5,1,0,0.2,0.036223160969787456,27,27
NZ,IT,30,3,0,0.1,0.03459925995971617,64,75.3
DE,MY,17,2,0,0.11764705882352941,0.03287908001292091,1645.0,1645
NL,SG,32,3,0,0.09375,0.032400962626319516,95,110
NL,CA,139,8,0,0.05755395683453238,0.029448548485711497,68.5,82.9
NL,FR,36,3,0,0.08333333333333333,0.028748089271291792,20,36.3
NZ,US,55,4,0,0.07272727272727272,0.028643596503688543,253.0,253
NL,ES,58,4,0,0.06896551724137931,0.027143807598168333,32.0,35.8
NL,IE,42,3,0,0.07142857142857142,0.024589963551172864,18,40
GR,IT,70,4,0,0.05714285714285714,0.022443415847410175,295.0,393.8
CH,BE,8,1,0,0.125,0.02241690886329618,57,57
GR,US,99,5,0,0.050505050505050504,0.02176291355669112,131,231.6
ES,GB,9,1,0,0.1111111111111111,0.019890371327130518,323,323
FR,MY,9,1,0,0.1111111111111111,0.019890371327130518,229,229
NZ,MY,9,1,0,0.1111111111111111,0.019890371327130518,639,639
BE,MY,40,2,1,0.05,0.013820377146101093,420.5,420.5
NL,IT,90,3,0,0.03333333333333333,0.011400183632439493,108,97.3
PT,IT,16,1,0,0.0625,0.011119057308331216,50,50
ES,MY,19,1,0,0.05263157894736842,0.00935175249052995,79,79
FR,US,50,1,0,0.02,0.0035391680889764613,182,182
NL,US,105,1,0,0.009523809523809525,0.001683125905052792,22,22
CH,CA,11,0,0,0.0,2.057132194452876e-17,,
NL,MY,28,0,0,0.0,0.0,,
GR,MY,26,0,0,0.0,0.0,,
IE,MY,19,0,0,0.0,0.0,,
SG,MY,18,0,0,0.0,0.0,,
CH,US,10,0,0,0.0,0.0,,
NL,GB,9,0,0,0.0,0.0,,
IE,GB,8,0,0,0.0,0.0,,
PT,BE,7,0,0,0.0,0.0,,
CH,AU,6,0,0,0.0,0.0,,
GR,GB,6,0,0,0.0,0.0,,
NO,MY,6,0,0,0.0,0.0,,
PT,ES,6,0,0,0.0,0.0,,
SG,GB,6,0,0,0.0,0.0,,
CH,MY,5,0,0,0.0,0.0,,
NZ,GB,5,0,0,0.0,0.0,,
PT,CA,5,0,0,0.0,0.0,,
PT,NL,5,0,0,0.0,0.0,,
CH,DE,4,0,0,0.0,0.0,,
CH,FR,4,0,0,0.0,0.0,,
CH,IT,4,0,0,0.0,0.0,,
PT,AU,4,0,0,0.0,0.0,,
PT,NO,4,0,0,0.0,0.0,,
PT,GB,3,0,0,0.0,0.0,,
DE,GB,2,0,0,0.0,0.0,,
PT,SG,2,0,0,0.0,0.0,,
PT,US,2,0,0,0.0,0.0,,
CH,GR,1,0,0,0.0,0.0,,
CH,NO,1,0,0,0.0,0.0,,
FR,GB,1,0,0,0.0,0.0,,
MY,GB,1,0,0,0.0,0.0,,
PT,FR,1,0,0,0.0,0.0,,
PT,IE,1,0,0,0.0,0.0,,
PT,NZ,1,0,0,0.0,0.0,,
SK,CH,1,0,0,0.0,0.0,,
SK,ES,1,0,0,0.0,0.0,,
